Tiempo,Variable 1
-2.000000,921.000000
-1.900000,856.000000
-1.800000,700.000000
-1.700000,456.000000
-1.600000,169.000000
-1.500000,-133.000000
-1.400000,-414.000000
-1.300000,-644.000000
-1.200000,-790.000000
-1.100000,-836.000000
-1.000000,-786.000000
-0.900000,-635.000000
-0.800000,-428.000000
-0.700000,-171.000000
-0.600000,96.000000
-0.500000,350.000000
-0.400000,555.000000
-0.300000,705.000000
-0.200000,757.000000
-0.100000,721.000000
0.000000,595.000000
0.100000,406.000000
0.200000,185.000000
0.300000,-74.000000
0.400000,-296.000000
0.500000,-485.000000
0.600000,-619.000000
0.700000,-685.000000
0.800000,-655.000000
0.900000,-549.000000
1.000000,-395.000000
1.100000,-186.000000
1.200000,41.000000
1.300000,258.000000
1.400000,428.000000
1.500000,556.000000
1.600000,604.000000
1.700000,596.000000
1.800000,510.000000
1.900000,368.000000
2.000000,186.000000
2.100000,-13.000000
2.200000,-207.000000
2.300000,-382.000000
2.400000,-489.000000
2.500000,-552.000000
2.600000,-535.000000
2.700000,-476.000000
2.800000,-338.000000
2.900000,-184.000000
3.000000,-8.000000
3.100000,177.000000
3.200000,321.000000
3.300000,434.000000
3.400000,503.000000
3.500000,489.000000
3.600000,430.000000
3.700000,325.000000
3.800000,182.000000
3.900000,16.000000
4.000000,-141.000000
4.100000,-285.000000
4.200000,-388.000000
4.300000,-452.000000
4.400000,-452.000000
4.500000,-405.000000
4.600000,-296.000000
4.700000,-166.000000
4.800000,-31.000000
4.900000,124.000000
5.000000,244.000000
5.100000,344.000000
5.200000,394.000000
5.300000,399.000000
5.400000,360.000000
5.500000,280.000000
5.600000,169.000000
5.700000,45.000000
5.800000,-97.000000
5.900000,-217.000000
6.000000,-308.000000
6.100000,-357.000000
6.200000,-371.000000
6.300000,-343.000000
6.400000,-260.000000
6.500000,-164.000000
6.600000,-39.000000
6.700000,71.000000
6.800000,188.000000
6.900000,271.000000
7.000000,326.000000
7.100000,337.000000
7.200000,308.000000
7.300000,244.000000
7.400000,152.000000
7.500000,42.000000
7.600000,-62.000000
7.700000,-159.000000
7.800000,-242.000000
7.900000,-280.000000
8.000000,-298.000000
8.100000,-280.000000
8.200000,-235.000000
8.300000,-142.000000
8.400000,-53.000000
8.500000,46.000000
8.600000,130.000000
8.700000,204.000000
8.800000,263.000000
8.900000,277.000000
9.000000,257.000000
9.100000,216.000000
9.200000,144.000000
9.300000,63.000000
9.400000,-35.000000
9.500000,-122.000000
9.600000,-186.000000
9.700000,-237.000000
9.800000,-241.000000
9.900000,-238.000000
10.000000,-193.000000
10.100000,-135.000000
10.200000,-66.000000
10.300000,16.000000
10.400000,99.000000
10.500000,161.000000
10.600000,212.000000
10.700000,216.000000
10.800000,222.000000
10.900000,188.000000
11.000000,129.000000
11.100000,62.000000
11.200000,-13.000000
11.300000,-84.000000
11.400000,-142.000000
11.500000,-187.000000
11.600000,-206.000000
11.700000,-202.000000
11.800000,-170.000000
11.900000,-112.000000
12.000000,-58.000000
12.100000,2.000000
12.200000,73.000000
12.300000,121.000000
12.400000,166.000000
12.500000,188.000000
12.600000,175.000000
12.700000,148.000000
12.800000,114.000000
12.900000,64.000000
13.000000,2.000000
13.100000,-62.000000
13.200000,-104.000000
13.300000,-138.000000
13.400000,-169.000000
13.500000,-170.000000
13.600000,-147.000000
13.700000,-111.000000
13.800000,-59.000000
13.900000,-9.000000
14.000000,52.000000
14.100000,90.000000
14.200000,121.000000
14.300000,142.000000
14.400000,145.000000
14.500000,124.000000
14.600000,105.000000
14.700000,49.000000
14.800000,15.000000
14.900000,-46.000000
15.000000,-79.000000
15.100000,-119.000000
15.200000,-127.000000
